#Frame           stem
       1       1.0281
       2       0.8950
       3       1.2299
       4       1.0321
       5       1.0024
       6       1.0737
       7       1.1132
       8       0.9907
       9       0.9010
      10       1.1178
      11       0.9102
      12       0.8030
      13       0.8544
      14       1.0963
      15       0.8877
      16       1.5379
      17       0.8381
      18       1.0746
      19       0.8827
      20       0.9709
      21       1.2513
      22       0.9665
      23       1.0561
      24       1.1014
      25       0.9243
      26       0.7985
      27       1.0190
      28       0.9451
      29       0.9228
      30       0.9129
      31       1.1887
      32       0.9550
      33       0.7716
      34       0.9663
      35       0.8703
      36       1.1851
      37       0.9417
      38       1.1143
      39       0.9114
      40       1.0522
      41       1.1683
      42       0.9987
      43       1.2353
      44       1.1584
      45       0.9210
      46       1.0695
      47       1.4149
      48       0.8548
      49       1.1576
      50       0.9007
      51       0.9567
      52       1.1482
      53       1.0449
      54       1.1028
      55       1.0070
      56       0.9343
      57       1.3675
      58       1.2420
      59       0.9143
      60       0.9943
      61       1.2076
      62       1.1364
      63       0.9646
      64       1.0662
      65       1.0137
      66       1.3582
      67       1.2107
      68       1.2576
      69       1.1081
      70       1.1131
      71       1.2204
      72       0.9613
      73       1.0562
      74       1.2467
      75       1.3848
      76       1.0842
      77       1.0912
      78       1.1462
      79       0.9242
      80       0.8603
      81       1.0405
      82       0.8894
      83       1.1260
      84       1.2194
      85       1.1601
      86       0.9511
      87       1.2685
      88       1.1860
      89       1.0097
      90       1.5433
      91       1.1378
      92       0.8048
      93       1.0681
      94       0.9156
      95       0.9083
      96       1.1236
      97       1.1344
      98       0.9566
      99       1.5370
     100       0.9651
