#Frame        end2end
       1      16.1841
       2      17.3166
       3      15.4056
       4      17.8630
       5      17.3087
       6      17.0980
       7      16.2314
       8      15.6279
       9      15.6073
      10      15.8884
      11      17.3618
      12      17.1091
      13      16.0929
      14      16.3679
      15      17.3917
      16      14.9454
      17      16.5320
      18      16.4557
      19      17.1277
      20      15.9728
      21      16.9500
      22      16.2275
      23      16.6394
      24      15.7464
      25      17.0022
      26      15.8267
      27      15.7105
      28      16.7676
      29      16.8217
      30      16.2829
      31      16.6110
      32      16.1574
      33      15.1584
      34      16.6246
      35      16.4363
      36      14.7741
      37      17.8142
      38      15.1990
      39      16.8440
      40      15.4981
      41      16.8026
      42      15.7299
      43      16.6477
      44      17.1961
      45      16.7331
      46      17.1889
      47      16.8239
      48      16.4944
      49      15.3899
      50      16.1967
      51      16.2086
      52      16.4057
      53      16.7379
      54      16.4710
      55      16.9542
      56      16.2825
      57      17.1140
      58      16.7398
      59      15.7158
      60      16.3536
      61      16.1318
      62      16.3524
      63      16.4434
      64      17.9072
      65      16.1659
      66      16.2473
      67      16.7211
      68      15.6475
      69      16.9197
      70      16.6197
      71      16.0058
      72      16.3913
      73      16.6799
      74      16.3959
      75      16.6472
      76      16.6198
      77      16.2152
      78      16.9671
      79      15.9496
      80      16.1833
      81      16.4625
      82      16.0738
      83      16.6403
      84      16.1548
      85      16.5073
      86      16.7956
      87      16.0159
      88      17.2804
      89      16.7668
      90      17.3884
      91      17.4457
      92      16.1142
      93      17.3405
      94      18.4676
      95      16.3855
      96      17.4615
      97      16.6412
      98      16.7897
      99      14.3249
     100      17.2309
