#Frame       allatoms
       1       1.5657
       2       1.6620
       3       2.8799
       4       2.1603
       5       1.9061
       6       2.0613
       7       2.1254
       8       1.8059
       9       2.2933
      10       4.0293
      11       2.1979
      12       3.2782
      13       2.1735
      14       2.8213
      15       2.3250
      16       2.4091
      17       2.5087
      18       2.0701
      19       1.8536
      20       2.8200
      21       2.5423
      22       3.0754
      23       2.7665
      24       3.3014
      25       2.8431
      26       2.6306
      27       2.3827
      28       4.1962
      29       3.6063
      30       3.0924
      31       4.0279
      32       3.5889
      33       3.8875
      34       3.3557
      35       3.3702
      36       3.4475
      37       3.9253
      38       4.4387
      39       4.6011
      40       5.0575
      41       5.2577
      42       5.1419
      43       5.2412
      44       5.2234
      45       5.6018
      46       5.5604
      47       5.5465
      48       5.6230
      49       5.4432
      50       5.4014
      51       5.8360
      52       5.2332
      53       5.4020
      54       5.1494
      55       4.8807
      56       5.3845
      57       4.8304
      58       4.8330
      59       5.4693
      60       5.1021
      61       5.3987
      62       5.0397
      63       5.2610
      64       5.0768
      65       4.9723
      66       4.7703
      67       5.5464
      68       5.2860
      69       5.3974
      70       5.8943
      71       5.9897
      72       5.4087
      73       5.4290
      74       5.4550
      75       5.5670
      76       4.6268
      77       5.0718
      78       4.9786
      79       5.2433
      80       5.4403
      81       5.5904
      82       5.4437
      83       5.3861
      84       5.3007
      85       5.5779
      86       5.0711
      87       5.3647
      88       5.2100
      89       5.4515
      90       5.0188
      91       3.9958
      92       3.6179
      93       4.3357
      94       3.3296
      95       3.7565
      96       3.9743
      97       3.7851
      98       4.4148
      99       4.6440
     100       4.1063
