#Frame           loop
       1       1.6025
       2       1.6465
       3       3.0845
       4       2.1746
       5       1.9756
       6       2.1630
       7       2.1708
       8       1.9153
       9       2.4173
      10       3.4197
      11       2.3634
      12       3.7406
      13       2.3292
      14       2.7130
      15       2.4443
      16       2.1445
      17       2.3974
      18       2.0743
      19       1.9229
      20       3.0017
      21       2.6228
      22       3.3152
      23       2.8489
      24       3.1095
      25       2.8029
      26       2.6467
      27       1.9704
      28       4.3324
      29       3.9495
      30       3.3738
      31       4.3340
      32       3.9476
      33       4.1212
      34       3.7010
      35       3.7365
      36       3.8301
      37       4.2582
      38       4.8129
      39       4.6724
      40       5.1740
      41       5.6504
      42       5.6219
      43       5.5458
      44       5.5359
      45       5.9392
      46       6.0866
      47       6.0599
      48       5.8523
      49       5.5951
      50       5.8948
      51       6.3604
      52       5.4262
      53       5.7185
      54       5.6806
      55       5.4500
      56       5.7793
      57       5.2719
      58       5.2247
      59       5.9746
      60       5.5752
      61       5.7719
      62       5.5813
      63       5.7621
      64       5.7259
      65       5.3715
      66       5.2743
      67       6.0765
      68       5.8194
      69       5.8642
      70       6.2259
      71       6.3968
      72       6.0828
      73       6.1253
      74       5.9481
      75       5.9137
      76       5.1801
      77       5.6331
      78       5.5374
      79       5.6401
      80       5.9256
      81       6.0693
      82       5.8483
      83       5.7372
      84       5.8605
      85       6.0097
      86       5.5062
      87       6.0192
      88       5.5579
      89       5.8646
      90       5.1973
      91       4.2212
      92       3.9918
      93       4.7379
      94       3.6954
      95       4.0872
      96       4.3866
      97       4.1274
      98       4.3972
      99       5.0584
     100       4.5445
